date	source	title	summary
Mon, 04 Jan 2021 16:31:57 +0000	New York Times	FAFSA’s Expected Family Contribution Is Going Away. Good Riddance.	The dollar figure that the federal financial aid form spits out has long left families confused and despondent. And then there are those great expectations.
Mon, 28 Dec 2020 23:55:17 +0000	New York Times	Pope Francis Strips Powerful Vatican Office of Its Financial Assets	A financial scandal involving the secretariat of state has given fresh impetus to Francis’ reform agenda.
Mon, 28 Dec 2020 15:00:07 +0000	New York Times	With No Tickets to Sell, Arts Groups Appeal to Donors to Survive	Virtual cocktail parties have replaced black-tie galas as cultural institutions struggle to pay their operating costs.
Mon, 28 Dec 2020 02:27:16 +0000	New York Times	7 Wonderful Non-Covid Things We Learned in 2020	Sleep more, procrastinate less and get better at money in 2021.
Wed, 23 Dec 2020 23:12:07 +0000	New York Times	For Millions of Jobless, Christmas Is a Season to Endure, Not Celebrate	Even with the prospect of new federal aid, many Americans face a holiday of tough choices, trying to celebrate while dealing with pressing needs.
Tue, 22 Dec 2020 10:00:18 +0000	New York Times	The Auto I.R.A. Is Gaining Traction as a Retirement Savings Option	The automatic I.R.A., administered by state governments, will be more widely available.
Mon, 21 Dec 2020 17:20:25 +0000	New York Times	What Will Become of a Tycoon’s Art Gems?	It’s the art world’s new guessing game: Will Sheldon Solow’s paintings and sculptures, conservatively valued at $500 million, be heading to a private museum or to auction?
Fri, 18 Dec 2020 14:00:08 +0000	New York Times	Stuck at Home, People Are Splurging on Wine and Spirits	Sales of wine, beer and spirits are up across the board, but “consumers are trading up and spending more,” one analyst said.
Mon, 04 Jan 2021 18:40:45 GMT	CNBC	Haven, the Amazon-Berkshire-JPMorgan venture to disrupt health care, is disbanding after 3 years	The announcement in 2018 that the CEOs of Amazon, Berkshire Hathaway and JPMorgan Chase had teamed up sent shock waves throughout the world of health care.
Mon, 04 Jan 2021 16:52:51 GMT	CNBC	Stocks making the biggest moves midday: Quantumscape, Tesla, Boeing, McDonald's & more	Tesla shares hit a record high. Quantumscape shares plunged.
Mon, 04 Jan 2021 13:52:48 GMT	CNBC	Stocks making the biggest moves in the premarket: Magellan Health, FLIR Systems, Tesla & more	The stocks making the biggest moves in premarket trading include Magellan Health, FLIR Systems, Tesla, and more.
Mon, 04 Jan 2021 17:03:53 GMT	CNBC	Bitcoin falls as record-breaking rally loses steam	The price of bitcoin rallied to a fresh all-time high over the weekend, briefly topping the $34,000 mark.
Mon, 04 Jan 2021 12:24:01 GMT	CNBC	Chinese electric car company Nio doubles deliveries in 2020 as local competition ramps up for Tesla	Chinese electric car start-ups Nio, Li Auto and Xpeng each announced that deliveries surged in 2020 to close out the year with new monthly highs.
Mon, 04 Jan 2021 18:37:38 GMT	CNBC	Wall Street begins 2021 with sell-off, Dow dropping more than 400 points	Stocks dropped on Monday, the first trading day of 2021, amid concerns about global coronavirus cases and the Georgia runoff elections.
Thu, 31 Dec 2020 12:55:04 GMT	CNBC	Stocks making the biggest moves premarket: Exxon Mobil, Tribune Publishing, Apple, Tesla & more	These are the stocks posting the largest moves before the bell.
Thu, 31 Dec 2020 14:39:09 GMT	CNBC	Trading legend Art Cashin shares his poem to say goodbye to 2020 and welcome the New Year	"Art Cashin couldn't lead the NYSE in the singing of ""Wait til the Sun Shines Nellie"" this year, but he penned this poem to share with us here."
Thu, 31 Dec 2020 12:19:07 GMT	CNBC	China scores an EU investment deal before Biden takes office — and it wants to do more	China wrapped negotiations with the EU on an important investment deal and talked up hopes for more, less than a month before Joe Biden is set to take office.
Wed, 30 Dec 2020 23:54:43 GMT	CNBC	Small caps' breakout is just starting, $17 billion money manager predicts	Bryn Mawr's Jeff Mills sees small caps outperforming large-cap stocks in 2021.
Wed, 30 Dec 2020 19:46:26 GMT	CNBC	Morgan Stanley repays $1.7 million to college savers for high-cost investments	Morgan Stanley is paying back 2,300 customers invested in high-cost 529 plans, which are tax-advantaged accounts for education.
Wed, 30 Dec 2020 17:39:20 GMT	CNBC	Dead people may still get $600 stimulus checks	People who died this year may receive the $600 stimulus checks the government began issuing Tuesday, similar to a round of one-time payments made in the spring.
Wed, 30 Dec 2020 16:59:04 GMT	CNBC	Stocks making the biggest moves midday: AMC, Levi Strauss, Dynatrace, AstraZeneca & more	Check out the companies making headlines in midday trading.
Wed, 30 Dec 2020 12:43:39 GMT	CNBC	Stocks making the biggest moves premarket: AstraZeneca, Intel, Caterpillar, Alibaba & more	These are the stocks posting the largest moves before the bell.
Wed, 30 Dec 2020 12:12:27 GMT	CNBC	2021 may mark the first inflation comeback in a generation, market researcher Jim Bianco warns	Bianco Research's Jim Bianco says inflation is his big worry for next year.
Wed, 30 Dec 2020 13:20:15 GMT	CNBC	Europe's digital banks got a 'wake-up call' in 2020. And consolidation could be coming	Investors want fintech challengers to show they can monetize their products and eventually make a profit. Experts say the space is ripe for some consolidation.
Wed, 30 Dec 2020 05:22:36 GMT	CNBC	China's IPO market is set to keep booming in 2021, says investor	"Noah Holdings' William Ma expects the demand for IPOs in China to remain high next year, following a ""very exciting"" 2020."
Wed, 30 Dec 2020 00:02:06 GMT	CNBC	Analyst argues that China's regulation of Ant Group is bad for financial technology — and China's economy	Alibaba recently saw more than $100 billion of its market cap shaved off in two sessions as the tech giant and its affiliate Ant Group face regulatory scrutiny.
Wed, 30 Dec 2020 23:04:35 GMT	CNBC	Dow rises for the fourth time in five days, ekes out record closing high	Stocks rose slightly on Wednesday amid renewed vaccine optimism while traders looked for clues on additional fiscal stimulus.
Tue, 29 Dec 2020 16:54:04 GMT	CNBC	Stocks making the biggest moves midday: Snap, Boeing, Alibaba, Lemonade & more	Check out the companies making headlines in midday trading.
Tue, 29 Dec 2020 13:32:24 GMT	CNBC	Stocks making the biggest moves premarket: Boeing, SAP, Lemonade, Alibaba & more	These are the stocks posting the largest moves before the bell.
Tue, 29 Dec 2020 11:47:18 GMT	CNBC	Market bull Julian Emanuel says stocks look like 2000 bubble top, but don't fear it	With the major indexes at record highs, BTIG's Julian Emanuel is drawing a parallel to another euphoric time: 2000.
Mon, 28 Dec 2020 23:06:39 GMT	CNBC	China's economy is still months away from a full recovery, business survey finds	China has not fully recovered from the shock of the coronavirus pandemic, business leaders said in a survey by the China Beige Book released Tuesday.
Tue, 29 Dec 2020 23:01:42 GMT	CNBC	Stocks close lower after hitting record highs, Dow and S&P 500 snap 3-day winning streak	Stocks slipped on Tuesday after reaching fresh all-time highs as traders weighed the possibility of even more fiscal stimulus being approved by Congress.
Mon, 28 Dec 2020 21:50:22 GMT	CNBC	JPMorgan is acquiring a major credit card rewards business in a bet that travel will rebound next year	JPMorgan had partnered with cxLoyalty for its popular credit-card rewards program until 2018, when the bank switched to using Expedia.
Mon, 28 Dec 2020 17:09:25 GMT	CNBC	Stocks making the biggest moves midday: Nikola, Weibo, DoorDash & more	These are the stocks posting the largest moves midday.
Tue, 29 Dec 2020 15:07:20 GMT	CNBC	Extra unemployment benefits may take weeks to arrive. Fewer checks may be coming	President Trump signed a Covid relief bill, giving extra jobless benefits to millions of workers. Aid may not come for weeks and the total amount may be lower.
Mon, 28 Dec 2020 15:34:59 GMT	CNBC	Investors believe the stock market could see headwinds under a Biden presidency	CNBC polled dozens of investors, traders and strategists about where they stood on stocks under a new administration.
Tue, 29 Dec 2020 16:18:07 GMT	CNBC	Stocks making the biggest moves premarket: Alibaba, AT&T, AstraZeneca, DoorDash, others	These are the stocks posting the largest moves before the bell.
Mon, 28 Dec 2020 15:36:00 GMT	CNBC	Treasury yields rise after Trump signs Covid relief bill	U.S. bond prices fell on Monday morning after President Donald Trump signed a $900 billion Covid-19 relief bill into law.
Mon, 04 Jan 2021 15:19:54 GMT	CNBC	Home prices are rising faster in the middle of the U.S. as Covid drives people away from coasts	Home prices are rising across the nation, but the usual geographical trends are being turned on their heads by the coronavirus pandemic.
Thu, 31 Dec 2020 18:44:28 GMT	CNBC	Weekly jobless claims fall for a second straight week	The number of people filing for unemployment benefits for the first time unexpectedly fell last week, marking its second straight decline.
Wed, 23 Dec 2020 18:37:18 GMT	CNBC	November new home sales fall more than expected, builder stocks drop	Sales of newly built homes came in far weaker than expected for November, and builder stocks are not taking it well.
Wed, 23 Dec 2020 14:27:56 GMT	CNBC	Weekly jobless claims rise less than expected, but hold above 800,000	The number of first-time unemployment-benefits filers decelerated to 803,000 in the week ending Dec. 19.
Tue, 22 Dec 2020 15:48:47 GMT	CNBC	Existing home sales decline for the first time in 5 months as prices rise and supply falls	After five consecutive months of gains, closed sales of existing homes turned lower in November from October.
Thu, 17 Dec 2020 14:53:17 GMT	CNBC	Weekly jobless claims unexpectedly rise, hit highest level since early September	Jobless claims unexpectedly rose as lawmakers struggle to push through additional coronavirus stimulus measures.
Wed, 16 Dec 2020 20:00:53 GMT	CNBC	Fed raises its economic outlook slightly, sees 4.2% growth next year and 5% unemployment rate	The central bank now expects real gross domestic product to fall just 2.4% in 2020, compared to the decline of 3.7% predicted in September.
Wed, 16 Dec 2020 20:38:16 GMT	CNBC	Fed commits to keep buying bonds until the economy gets back to full employment	The Federal Reserve made a key adjustment in its efforts to support the economy, while upgrading its outlook for growth.
Wed, 16 Dec 2020 15:17:48 GMT	CNBC	Homebuilder confidence drops from record high as rising prices hit buyers	Homebuilder confidence in the single-family housing market pulled back in December. Builders say they are concerned that buyers are feeling shock.
Wed, 16 Dec 2020 12:00:01 GMT	CNBC	Refinance demand jumps 105% annually, as mortgage rates set 15th record low of 2020	Mortgage demand was flat last week, despite record low rates, but demand is substantially higher than it was last year.
Tue, 15 Dec 2020 21:07:24 GMT	CNBC	The Fed could disappoint markets Wednesday, even if it keeps a super dovish tone	The Fed could disappoint at least some market pros who are expecting immediate changes in its bond buying program.
Tue, 15 Dec 2020 23:01:13 GMT	CNBC	'It's an economic war'— Warren Buffett urges Congress to extend relief for small businesses	Warren Buffett urged Congress to extend aid to small businesses as they continue to struggle through the coronavirus pandemic.
Tue, 15 Dec 2020 15:33:55 GMT	CNBC	Goldman Sachs CEO David Solomon says 90% of small businesses have exhausted PPP funds	Solomon's comments come as lawmakers are taking negotiations to approve another coronavirus stimulus bill down to the wire.
Fri, 11 Dec 2020 16:22:51 GMT	CNBC	Almost 40% of Americans plan to spend less this holiday season as the Covid pandemic lingers	The average American plans to spend just $886, down 10% from their planned spending last year, according to the CNBC All-America Economic Survey.
Thu, 10 Dec 2020 19:46:42 GMT	CNBC	Rising unemployment claims could be foreboding for the economy	The surprise jump in jobless claims filings signals a weakening in the labor market that could drag on the economy into the first quarter.
Thu, 10 Dec 2020 16:56:57 GMT	CNBC	Jobless claims rise more than expected after break from holiday	First-time claims for unemployment insurance totaled 853,000, an increase from the upwardly revised 716,000 total a week before.
Thu, 10 Dec 2020 14:27:40 GMT	CNBC	Homeowners are $1 trillion richer thanks to the pandemic-driven housing boom	Soaring home prices are padding the pockets of millions of homeowners across the nation. As prices rise, home equity multiplies.
Wed, 09 Dec 2020 21:31:02 GMT	CNBC	Mortgage rates set 14th record low of the year, driving even more refinance demand	Mortgage rates fell even more, and that is causing a surge in mortgage refinancing.
Tue, 08 Dec 2020 18:54:29 GMT	CNBC	Economic growth will be better than expected thanks to the resilient services sector, Goldman says	Economists have been worried that the aggressive virus spread will exact an especially large toll on the services sector.
Tue, 08 Dec 2020 21:50:13 GMT	CNBC	Even with a Covid vaccine, U.S. economy will likely get worse before it gets better: Ned Davis Research	"U.S. stocks are in ""the storm before the calm"" as Covid-19 cases rise, new restrictions are introduced and stimulus fades, says economist Alejandra Grindal."
Tue, 08 Dec 2020 15:26:26 GMT	CNBC	Wells Fargo CEO Scharf sees swift recovery for US economy in 2021 as vaccines are rolled out	Banks have put up tens of billions of dollars for loan loss reserves tied to the pandemic this year, although most of those reserves haven't been needed yet.
Wed, 09 Dec 2020 04:42:35 GMT	CNBC	Universal basic income could decimate cities next year, one bank says in its ‘outlandish forecasts’	"Saxo Bank on Tuesday outlined 10 ""outlandish forecasts"" for 2021, although it did stress these are not its ""official"" views."
Tue, 08 Dec 2020 15:36:29 GMT	CNBC	Borrowers looking to use Fed's Main Street lending program run into dead end	Steven Mnuchin's decision not to extend funding for the Federal Reserve's Main Street Lending Facility after Dec. 31 already looks to be cutting into lending.
Sat, 05 Dec 2020 15:30:01 GMT	CNBC	Hispanic unemployment from Covid-19 has been cut in half, but can it last?	Job opportunities for Hispanics remain uncertain, even as the jobless rate has been cut in half from the Covid-19 peak level of 16%.
Fri, 04 Dec 2020 23:35:08 GMT	CNBC	Biden warns the economy is stalling after 'dire' jobs report, calls for 'urgent action' on Covid stimulus	"Biden said Friday's underwhelming jobs report foreshadows a ""dark winter"" that demands ""urgent action"" from Trump and Congress."
Fri, 04 Dec 2020 16:58:29 GMT	CNBC	Jobs report shows weakening trend heading into holidays, increasing the case for stimulus	Job growth slowed in November and looks set to decline even more, as the spreading pandemic hits all sorts of economic activity.
Fri, 04 Dec 2020 14:51:43 GMT	CNBC	Employment growth slows sharply in November amid coronavirus surge	Economists surveyed by Dow Jones had been looking for 440,000 and the jobless rate to decrease to 6.7% from 6.9% in October
Thu, 03 Dec 2020 21:40:52 GMT	CNBC	Christmas tree sales are telling a holly, jolly economic story	Tree sales are up 29% so far in 2020, according to a survey of retailers done by Evercore ISI.
Thu, 03 Dec 2020 20:04:07 GMT	CNBC	The pace of job gains likely slowed in November due to the impact of virus shutdowns	Job gains in November are expected to be weaker than in October, reflecting the impact of virus-related shutdowns by states and local governments.
Thu, 03 Dec 2020 15:22:20 GMT	CNBC	Jobless claims hit pandemic-era low as hiring continues even with rising Covid cases	First-time claims for unemployment benefits totaled 712,000 last week, compared with 787,000 a week earlier and the Dow Jones estimate of 780,000.
Mon, 04 Jan 2021 13:43:00 -0500	Wall Street Journal	Videogames' Immunity Boost Might Linger	The pandemic led to a year of strong sales despite flops and delays and 2021 will likely start out the same.
Mon, 04 Jan 2021 13:34:00 -0500	Wall Street Journal	U.S. Stocks Slide to Start 2021	U.S. stocks fell on the first trading day of the year, dragged down by losses across everything from manufacturers to beverage makers.
Mon, 04 Jan 2021 12:11:00 -0500	Wall Street Journal	Brexit Forces Bankers to Shift Trading of European Stocks Out of London	The abrupt move underscores the European Union’s broader plan to bolster its own financial centers.
Mon, 04 Jan 2021 11:50:00 -0500	Wall Street Journal	Bitcoin Rose Nearly 20% Over Weekend	The digital currency, which has been on an extended rally since early September, took a wild ride over the weekend, briefly spiking over $34,000. It fell as low as $29,069 early Monday.
Mon, 04 Jan 2021 11:26:00 -0500	Wall Street Journal	Genworth's Merger With China Oceanwide Fizzles	A year-end deadline passed to complete the $2.7 billion deal for the U.S. insurer that was first struck in 2016. Genworth’s shares were off sharply in midday trading.
Mon, 04 Jan 2021 10:50:00 -0500	Wall Street Journal	Biden Administration Could Unsettle Banks	Percolating policy ideas like postal banking and digital wallets via the Fed give a hint of how Washington could reshape the banking business in the years to come.
Mon, 04 Jan 2021 09:38:00 -0500	Wall Street Journal	China's Economic Data: Guide for the Dazed and Confused	Investors are right to be skeptical about China’s economic data. Here’s how to interpret it.
Mon, 04 Jan 2021 09:11:00 -0500	Wall Street Journal	What Chinese ADRs' Delisting Means for Investors	Here are answers to some of the key questions raised by the NYSE’s coming delisting of three big Chinese telecom companies’ American depositary receipts.
Mon, 04 Jan 2021 08:54:00 -0500	Wall Street Journal	Tesla, FLIR Systems, Bitcoin: What to Watch When the Stock Market Opens Today	S&amp;P 500 futures are rising at the start of the week as investors hope the vaccine rollout will aid economic recovery and benefit stocks
Mon, 04 Jan 2021 07:51:00 -0500	Wall Street Journal	Cotton Prices Rise as Lack of Rain Shrinks Crop	A weakened dollar, combined with a U.S. ban on Chinese supplies over human-rights concerns, has stoked demand for American cotton as growers struggle with adverse weather.
Mon, 04 Jan 2021 07:10:00 -0500	Wall Street Journal	Stock Market Rally in 2020 Easily Outpaced Luxury Goods, Hedge Funds	In 2020, you were better off putting money into a stock index fund than in fine art or diamonds.
Mon, 04 Jan 2021 06:51:00 -0500	Wall Street Journal	MGM's Entain Bet Could Help the House Keep Winning	Casino operator MGM Resorts is wagering that gambling’s move online will persist to an extent even after the pandemic ebbs.
Mon, 04 Jan 2021 05:30:00 -0500	Wall Street Journal	Fidelity's Challenge Is to Turn Day Traders Into Longtime Clients	Fidelity is betting its new investors will graduate to more lucrative offerings such as financial advice. Whether the strategy works won’t be known for some time.
Mon, 04 Jan 2021 05:27:00 -0500	Wall Street Journal	Looming Delisting Jolts Chinese Telecom Stocks	Shares in China’s three large telecom carriers were roiled, after the New York Stock Exchange moved to delist the trio to comply with a U.S. ban.
Mon, 04 Jan 2021 03:05:00 -0500	Wall Street Journal	MGM Makes $11 Billion Offer for Ladbrokes Owner Entain	The British gaming company said the offer, which would have a substantial stock component, significantly undervalues the company.
Sun, 03 Jan 2021 22:56:00 -0500	Wall Street Journal	Icahn Sells More Than Half of His Herbalife Stake	Carl Icahn is also relinquishing his seats on the nutritional-supplements company’s board, taking a step back from a longtime investment.
Sun, 03 Jan 2021 13:22:00 -0500	Wall Street Journal	How the American Mortgage Machine Works	Investors who don’t understand how the U.S. housing-finance industry fits together might one day find themselves scrambling for shelter.
Sun, 03 Jan 2021 11:00:00 -0500	Wall Street Journal	Risk Takers Bet Asset-Backed Bonds Will Catch Up	Bargains on Wall Street are hard to find after the fierce 2020 rally in stock and bond prices. Some investors are sifting through complex securities that were among the hardest hit by panic selling this past spring.
Sun, 03 Jan 2021 10:00:00 -0500	Wall Street Journal	Double Stock-Market Bubble Brings Toil and (Perhaps) Trouble	Various investments previously viewed as overpriced showed big gains in 2020. Are we in a new era of wild speculation driven by cheap money that must inevitably come to an end?
Sun, 03 Jan 2021 09:05:00 -0500	Wall Street Journal	Cleared Hurdle Still Leaves Tesla Stock in Ludicrous Mode	Tesla has met its own guidance for annual production, but its valuation still looks hard to justify.
Jan 04, 2021 16:36 GMT	Investing.com	Time To Reset Your Investment Portfolio In 2021?	None
Jan 04, 2021 07:15 GMT	Investing.com	Pay Attention For U.S. Nonfarm Payrolls And FOMC Minutes This Week	None
Jan 03, 2021 12:56 GMT	Investing.com	Week Ahead: Georgia Senate Race Amps Up Market Volatility; Bitcoin Tops $34K	None
Jan 03, 2021 05:27 GMT	Investing.com	State Of The Markets As We Start 2021	None
Jan 02, 2021 15:42 GMT	Investing.com	2021: A Dangerous Year For Long-Term Investors	None
Dec 31, 2020 11:25 GMT	Investing.com	Opening Bell: Stocks End 2020 Near All-Time Highs; Dollar At 2-Year Low	None
Dec 31, 2020 08:58 GMT	Investing.com	Gold, Silver And Thinking Outside The Box	None
Dec 30, 2020 19:16 GMT	Investing.com	Outlook 2021: Supply/Demand Fundamentals for Precious Metals	None
Dec 30, 2020 13:30 GMT	Investing.com	Opening Bell: Futures, Stocks Rise; USD Falls; Bitcoin Hits Another New Record	None
Dec 29, 2020 21:48 GMT	Investing.com	Outlook 2021: What To Expect From Equities, Bitcoin And The  U.S. Dollar	None
Jan 04, 2021 12:07 GMT	Investing.com	Opening Bell: U.S. Futures, Global Stocks Surge; Gold Jumps, USD, Bitcoin Fall	None
Jan 04, 2021 09:47 GMT	Investing.com	Georgia On My Mind	None
Jan 04, 2021 08:38 GMT	Investing.com	Gain In Risk Assets Will Continue, But Could Slow	None
Jan 04, 2021 08:32 GMT	Investing.com	Weekly Outlook: New Year Starts With Georgia Election, CPIs and U.S. NFPs	None
Jan 04, 2021 07:15 GMT	Investing.com	Pay Attention For U.S. Nonfarm Payrolls And FOMC Minutes This Week	None
Jan 04, 2021 05:08 GMT	Investing.com	A Whacky, Strange But Profitable Year	None
Jan 03, 2021 12:56 GMT	Investing.com	Week Ahead: Georgia Senate Race Amps Up Market Volatility; Bitcoin Tops $34K	None
Jan 03, 2021 06:15 GMT	Investing.com	No Predictions, But Some Thoughts On Where Markets Might Go In The New Year	None
Jan 03, 2021 06:02 GMT	Investing.com	Will The Fed Destroy The Dollar?	None
Jan 03, 2021 05:27 GMT	Investing.com	State Of The Markets As We Start 2021	None
Jan 04, 2021 16:36 GMT	Investing.com	Time To Reset Your Investment Portfolio In 2021?	None
Jan 04, 2021 08:32 GMT	Investing.com	Weekly Outlook: New Year Starts With Georgia Election, CPIs and U.S. NFPs	None
Dec 30, 2020 09:58 GMT	Investing.com	Plus Ça Change: A French Lesson In Monetary Debauchery	None
Dec 29, 2020 07:41 GMT	Investing.com	Sentiment Stays Supported With Wall Street Hitting Fresh Records	None
Dec 29, 2020 05:07 GMT	Investing.com	Wall Street Bullish On 2021, But Fundamentals Tell A Different Story	None
Dec 28, 2020 19:45 GMT	Investing.com	Further U.S. Dollar Debasement Ahead In 2021	None
Dec 22, 2020 08:45 GMT	Investing.com	Mutated COVID In Britain, U.S. Congress Approves Aid Package	None
Dec 18, 2020 08:30 GMT	Investing.com	Risk Sentiment Softens Somewhat, GBP Pulls Back	None
Dec 17, 2020 08:22 GMT	Investing.com	USD Slides After Fed, SNB, BoE And BoJ Take Their Turn	None
Dec 15, 2020 08:28 GMT	Investing.com	GBP Gains On Brexit Deal Hopes, AUD Slides On Trade Tensions	None
Dec 01, 2020 10:18 GMT	Investing.com	AUD/USD Enjoys Upswing, Dollar Declines	None
Nov 20, 2020 07:24 GMT	Investing.com	Portfolio Design First Principles	None
Nov 18, 2020 10:57 GMT	Investing.com	Setups For Dollar Index, Platinum Futures, DAX	None
Nov 15, 2020 06:53 GMT	Investing.com	Gold’s Momentous Rally Compared To SPY & QQQ – Part I	None
Nov 05, 2020 09:47 GMT	Investing.com	Indices And Commodities Up, USD Down	None
Nov 01, 2020 06:21 GMT	Investing.com	6 Speculative REIT Ideas To Consider	None
Oct 26, 2020 15:00 GMT	Investing.com	Election May Impact Near-Term Action in Gold And Silver	None
Oct 22, 2020 05:30 GMT	Investing.com	Who Says Value’s Dead?	None
Sep 16, 2020 10:37 GMT	Investing.com	3 Great Setups Ahead Of The FOMC	None
Aug 21, 2020 15:09 GMT	Investing.com	Could Buffett Buy 130 Million Ounces Of Silver Again?By Mike Gleason, Money Meta	None
Jan 04, 2021 10:36 GMT	Investing.com	Bitcoin As Gateway To Ethereum Sees ETH Breach $1,000 Milestone	None
Jan 04, 2021 09:19 GMT	Investing.com	Ethereum Just Topped $11,00, What Now?	None
Jan 04, 2021 05:33 GMT	Investing.com	Ethereum Hits $100 Billion Market Cap In Parabolic Run	None
Jan 04, 2021 05:31 GMT	Investing.com	What’s The Frequency, Bitcoin?	None
Jan 04, 2021 05:17 GMT	Investing.com	Cryptocurrencies Have Peaked	None
Jan 03, 2021 11:48 GMT	Investing.com	Ethereum Tops $800 As Bitcoin Marks Birthday At $34,000	None
Jan 03, 2021 06:06 GMT	Investing.com	Bitcoin Soars Past $30,000 In Latest Record High	None
Jan 03, 2021 04:53 GMT	Investing.com	Bitcoin Keeps Going Bananas	None
Dec 31, 2020 10:16 GMT	Investing.com	Binance.US To Delist XRP Amid Ripple Lawsuit	None
Dec 31, 2020 08:56 GMT	Investing.com	Bitcoin Price Eyes $30K Level	None
Jan 04, 2021 15:11 GMT	Investing.com	What Will U.S. Dollar Ring In For 2021?	None
Jan 04, 2021 15:01 GMT	Investing.com	Can EUR/USD Reverse Down?	None
Jan 04, 2021 13:32 GMT	Investing.com	GBP/USD Breakout	None
Jan 04, 2021 11:15 GMT	Investing.com	Rising Equities And Slumping Dollar Greet The New Year	None
Jan 04, 2021 10:25 GMT	Investing.com	Will The Euro And Pound Rally Continue in 2021?	None
Jan 04, 2021 07:26 GMT	Investing.com	USD ASIA FX Is Very Offerish	None
Jan 04, 2021 05:37 GMT	Investing.com	January Monthly: U.S. Dollar Begins Year With Substantial Downside Momentum	None
Jan 03, 2021 06:02 GMT	Investing.com	Will U.S.-China Relations Continue To Deteriorate In 2021?	None
Dec 31, 2020 16:22 GMT	Investing.com	Sterling Ends 2020 In Style	None
Dec 31, 2020 11:49 GMT	Investing.com	EUR/AUD Tumbles Below Key Support of 1.6025	None
Jan 04, 2021 15:11 GMT	Investing.com	What Will U.S. Dollar Ring In For 2021?	None
Jan 04, 2021 15:01 GMT	Investing.com	Can EUR/USD Reverse Down?	None
Jan 04, 2021 13:32 GMT	Investing.com	GBP/USD Breakout	None
Jan 04, 2021 10:25 GMT	Investing.com	Will The Euro And Pound Rally Continue in 2021?	None
Jan 03, 2021 06:02 GMT	Investing.com	Will U.S.-China Relations Continue To Deteriorate In 2021?	None
Dec 31, 2020 11:49 GMT	Investing.com	EUR/AUD Tumbles Below Key Support of 1.6025	None
Dec 30, 2020 15:11 GMT	Investing.com	EUR/USD In Strong Bull Trend, But Possible Wedge Forming	None
Dec 29, 2020 15:31 GMT	Investing.com	EUR/USD In Small Pullback Bull Trend	None
Dec 29, 2020 11:39 GMT	Investing.com	Is a Reversal Looming In GBP/CAD?	None
Dec 29, 2020 10:53 GMT	Investing.com	3 Setups For The Japanese Yen Now	None
Jan 04, 2021 11:15 GMT	Investing.com	Rising Equities And Slumping Dollar Greet The New Year	None
Jan 04, 2021 10:25 GMT	Investing.com	Will The Euro And Pound Rally Continue in 2021?	None
Jan 04, 2021 07:26 GMT	Investing.com	USD ASIA FX Is Very Offerish	None
Jan 04, 2021 05:37 GMT	Investing.com	January Monthly: U.S. Dollar Begins Year With Substantial Downside Momentum	None
Dec 31, 2020 16:22 GMT	Investing.com	Sterling Ends 2020 In Style	None
Dec 31, 2020 09:50 GMT	Investing.com	U.S. Dollar Retreat Continues	None
Dec 30, 2020 10:17 GMT	Investing.com	U.S. Dollar Grinds Lower	None
